Vietnamese,English
tôi,I
không,Are not
là,to be
anh,older brother
có,Yes
ta,us
của,belong to
đi,Go
đã,already
đó,there
sẽ,will
chúng,they
gì,what
một,one
được,Okay
và,and
cô,aunt
làm,do
phải,right
rồi,already
người,people
này,this
cho,give
em,I
đây,this
con,child
sao,star
biết,know
ông,grandfather
nói,speak
nó,it
thể,bodies
với,with
cậu,boy
thế,position
lại,again
ra,out
vậy,so
để,to
nào,any
ấy,that
cái,female
đang,in progress
muốn,would like
trong,in
mà,but
như,as
nhưng,but
khi,when the
những,those
đến,arrive
đâu,where
chuyện,stories
chỉ,only
cả,chief
về,about
thì,then
họ,surname
giờ,hour
thôi,stop
thấy,see
còn,still
cũng,also
vào,to enter
các,the
bị,bag
nghĩ,think
đấy,there
ai,Who
thật,real
hắn,he
nếu,if
mình,me
việc,job
nữa,again
rất,very
vì,because the
cần,need
chứ,but
à,okay
điều,thing
sự,progress
tới,next
xin,ask for
thứ,rank
chưa,not yet
nhà,home
lên,go up
đúng,correct
từ,are from
mẹ,mom
nghe,to listen
hơn,than
mọi,all
bạn,friend
tớ,me
nên,Candlestick
chết,died
mày,you
